,DrugID,DiseaseID
0,DB00657,D103780
1,DB00284,D125853
2,DB00284,D125850
3,DB00284,D125851
4,DB00284,D600496
5,DB01192,D608622
6,DB01192,D161900
7,DB00315,D145590
8,DB00315,D147530
9,DB00315,D157300
10,DB00315,D608088
11,DB00315,D140600
12,DB00816,D147480
13,DB00816,D217200
14,DB00816,D600351
15,DB00816,D215140
16,DB00816,D239350
17,DB00816,D243200
18,DB00413,D125853
19,DB00413,D125850
20,DB00413,D125851
21,DB00413,D600496
22,DB01062,D181500
23,DB00783,D268320
24,DB00210,D604416
25,DB00637,D194200
26,DB00131,D194200
27,DB00240,D233810
28,DB00627,D102500
29,DB00627,D167320
30,DB00627,D150600
31,DB00627,D166710
32,DB00627,D602080
33,DB00343,D200170
34,DB00343,D147530
35,DB00343,D600082
36,DB06287,D608622
37,DB06287,D145500
38,DB06287,D161900
39,DB00521,D148000
40,DB00436,D602068
41,DB00436,D310468
42,DB00917,D157300
43,DB00968,D260570
44,DB00401,D252320
45,DB00401,D167870
46,DB00912,D126200
47,DB00912,D168100
48,DB00912,D119500
49,DB01120,D254200
50,DB01142,D276300
51,DB00593,D208300
52,DB00593,D215140
53,DB00593,D608622
54,DB00593,D161900
55,DB00356,D268320
56,DB01222,D208550
57,DB01222,D600807
58,DB01222,D210050
59,DB01115,D115000
60,DB00320,D144110
61,DB00320,D147530
62,DB00320,D252320
63,DB00380,D125310
64,DB00380,D608320
65,DB00380,D608622
66,DB00380,D145500
67,DB00380,D179600
68,DB00380,D161900
69,DB01327,D217200
70,DB01327,D239350
71,DB00182,D143465
72,DB01410,D212110
73,DB01216,D114480
74,DB01216,D174800
75,DB01124,D607554
76,DB00712,D168100
77,DB00712,D168600
78,DB00404,D188050
79,DB00278,D188050
80,DB01235,D164230
81,DB01235,D181500
82,DB01167,D276300
83,DB00939,D107320
84,DB00939,D208230
85,DB00939,D125310
86,DB00939,D145590
87,DB00939,D147530
88,DB00939,D150600
89,DB00939,D157300
90,DB00939,D165720
91,DB00939,D140600
92,DB00939,D607850
93,DB00939,D607459
94,DB00939,D601367
95,DB00939,D152700
96,DB00636,D147540
97,DB01070,D109100
98,DB00334,D110100
99,DB00334,D157700
100,DB00289,D143465
101,DB01075,D144010
102,DB00571,D226150
103,DB00571,D190310
104,DB00993,D134750
105,DB00927,D247200
106,DB00927,D258360
107,DB00927,D601004
108,DB00992,D208920
109,DB00992,D233810
110,DB00992,D266600
111,DB00992,D126200
112,DB00992,D254200
113,DB00992,D160300
114,DB00992,D181000
115,DB00992,D152700
116,DB00992,D188030
117,DB00547,D604416
118,DB00181,D601042
119,DB00181,D128101
120,DB00181,D143100
121,DB00181,D147530
122,DB00181,D126200
123,DB00181,D607225
124,DB00181,D189600
125,DB00181,D190400
126,DB01009,D266600
127,DB00393,D208550
128,DB00393,D600807
129,DB00541,D608622
130,DB00541,D146255
131,DB00541,D161900
132,DB00434,D600351
133,DB00434,D215140
134,DB00434,D608622
135,DB00434,D256370
136,DB00434,D161900
137,DB01085,D147530
138,DB01085,D166760
139,DB00865,D608088
140,DB00864,D303110
141,DB00864,D601665
142,DB00864,D264120
143,DB00765,D145590
144,DB00245,D125320
145,DB00245,D168100
146,DB00245,D168600
147,DB01242,D608622
148,DB01242,D161900
149,DB00441,D603165
150,DB00441,D125600
151,DB00441,D133600
152,DB00441,D151590
153,DB00195,D137750
154,DB00195,D608622
155,DB00195,D161900
156,DB01018,D109350
157,DB01018,D157950
158,DB01018,D191800
159,DB00307,D276300
160,DB00307,D254400
161,DB01125,D176807
162,DB00904,D137750
163,DB00904,D601682
164,DB00904,D137760
165,DB00904,D161900
166,DB00808,D125320
167,DB00808,D168100
168,DB01291,D600263
169,DB00611,D110100
170,DB00611,D157700
171,DB00899,D208550
172,DB00899,D600807
173,DB00290,D236000
174,DB00290,D109543
175,DB00290,D247640
176,DB00290,D155601
177,DB00290,D155600
178,DB00290,D267730
179,DB00290,D273300
180,DB00188,D254500
181,DB00557,D178600
182,DB00557,D161900
183,DB00482,D137750
184,DB00482,D601682
185,DB00482,D137760
186,DB00482,D161900
187,DB01193,D137750
188,DB01193,D601682
189,DB01193,D137760
190,DB01193,D161900
191,DB00960,D212350
192,DB00960,D115645
193,DB01197,D168100
194,DB00353,D145590
195,DB01221,D208550
196,DB01221,D600807
197,DB01221,D210050
198,DB01221,D266600
199,DB01221,D191390
200,DB00884,D203700
201,DB00884,D208300
202,DB00884,D210050
203,DB00884,D600351
204,DB00884,D215140
205,DB00884,D608622
206,DB00884,D146255
207,DB00884,D256370
208,DB00884,D166300
209,DB00884,D161900
210,DB00297,D147530
211,DB00918,D147530
212,DB01151,D143465
213,DB01151,D167870
214,DB01151,D264120
215,DB00489,D104130
216,DB00489,D156190
217,DB00489,D165150
218,DB00489,D259050
219,DB00489,D167870
220,DB00489,D300232
221,DB01006,D223350
222,DB01006,D246470
223,DB01006,D276300
224,DB01006,D254450
225,DB01006,D263300
226,DB00241,D145590
227,DB00241,D157300
228,DB00608,D147530
229,DB00248,D600634
230,DB00201,D136200
231,DB00201,D145590
232,DB00201,D147530
233,DB00201,D157300
234,DB00201,D140600
235,DB00136,D146255
236,DB00136,D277440
237,DB00136,D277460
238,DB11750,D608622
239,DB11750,D161900
240,DB01099,D114480
241,DB01099,D114500
242,DB01099,D137215
243,DB01099,D276300
244,DB01099,D176807
245,DB01099,D144700
246,DB01196,D602522
247,DB01196,D600351
248,DB01196,D215140
249,DB01196,D608622
250,DB01196,D146255
251,DB01196,D179600
252,DB01196,D161900
253,DB00563,D104130
254,DB00563,D128101
255,DB00563,D165199
256,DB00563,D102300
257,DB00563,D181500
258,DB00563,D190400
259,DB00190,D125320
260,DB00190,D168100
261,DB00190,D168600
262,DB00190,D102300
263,DB00957,D109800
264,DB00957,D133239
265,DB00957,D276300
266,DB00957,D259500
267,DB00262,D137800
268,DB00262,D236000
269,DB00262,D109543
270,DB00262,D247640
271,DB00262,D276300
272,DB00262,D254500
273,DB00262,D267730
274,DB00519,D137750
275,DB00519,D608622
276,DB00519,D161900
277,DB01133,D607554
278,DB01133,D608622
279,DB01133,D161900
280,DB01320,D600803
281,DB00533,D208550
282,DB00533,D166760
283,DB00481,D175100
284,DB00481,D208230
285,DB00481,D135550
286,DB00481,D147530
287,DB00481,D246470
288,DB00481,D165720
289,DB00481,D140600
290,DB00481,D607850
291,DB00481,D175505
292,DB00481,D607459
293,DB00472,D103780
294,DB00472,D226150
295,DB01157,D147530
296,DB00605,D181000
297,DB00876,D203700
298,DB00876,D210050
299,DB00876,D600351
300,DB00876,D215140
301,DB00876,D608622
302,DB00876,D256370
303,DB00876,D161900
304,DB00476,D145590
305,DB00476,D181500
306,DB00669,D125853
307,DB00669,D125850
308,DB00669,D125851
309,DB00669,D600496
310,DB00310,D608622
311,DB00310,D161900
312,DB00354,D147530
313,DB00169,D102500
314,DB00169,D266600
315,DB00169,D166710
316,DB00122,D208230
317,DB00122,D147530
318,DB00122,D165720
319,DB00122,D140600
320,DB00122,D607850
321,DB00122,D607459
322,DB01406,D208550
323,DB01186,D114580
324,DB01186,D125600
325,DB00500,D109350
326,DB00500,D304790
327,DB00500,D264120
328,DB00500,D190310
329,DB00536,D208550
330,DB00536,D145590
331,DB00536,D266600
332,DB00536,D258360
333,DB00536,D166760
334,DB00603,D304790
335,DB00514,D109800
336,DB00514,D133239
337,DB00514,D236000
338,DB00514,D276300
339,DB00514,D254500
340,DB00514,D256700
341,DB00514,D259500
342,DB00514,D182280
343,DB00514,D273300
344,DB00215,D103780
345,DB00215,D131300
346,DB00215,D225755
347,DB00215,D608033
348,DB00215,D225740
349,DB00215,D164230
350,DB00215,D167870
351,DB00215,D260970
352,DB00215,D182830
353,DB03904,D310468
354,DB03904,D179800
355,DB03904,D179830
356,DB03904,D604278
357,DB00242,D109543
358,DB00242,D151400
359,DB00242,D276300
360,DB00242,D126200
361,DB00242,D258360
362,DB00767,D226150
363,DB00767,D191390
364,DB09026,D125600
365,DB09026,D151590
366,DB00630,D247640
367,DB00635,D144650
368,DB00881,D270960
369,DB01241,D164230
370,DB01241,D167870
371,DB01067,D102100
372,DB01067,D208230
373,DB01067,D254770
374,DB01067,D254800
375,DB01067,D165720
376,DB01067,D140600
377,DB01067,D607850
378,DB01067,D167870
379,DB01067,D102300
380,DB01067,D181500
381,DB01067,D607459
382,DB00573,D607554
383,DB00573,D143465
384,DB00573,D601042
385,DB00573,D137580
386,DB00573,D144110
387,DB00573,D608622
388,DB00573,D147530
389,DB00573,D171300
390,DB00573,D161900
391,DB00573,D102300
392,DB00757,D125310
393,DB00757,D540000
394,DB00757,D601367
395,DB00257,D114580
396,DB00257,D212050
397,DB00361,D181500
398,DB00906,D147530
399,DB00906,D608088
400,DB00316,D145590
401,DB00316,D608088
402,DB00316,D140600
403,DB01367,D249100
404,DB00286,D102500
405,DB00286,D114480
406,DB00286,D215470
407,DB00286,D311360
408,DB00286,D176807
409,DB00286,D601518
410,DB00286,D192000
411,DB01002,D208550
412,DB01002,D600807
413,DB01002,D191390
414,DB00115,D170900
415,DB01175,D145590
416,DB00921,D200170
417,DB00921,D601042
418,DB00921,D147530
419,DB00921,D157300
420,DB00921,D160750
421,DB00091,D254200
422,DB00091,D152700
423,DB00433,D606798
424,DB00433,D113610
425,DB00433,D218200
426,DB00433,D606703
427,DB00433,D147540
428,DB00433,D157300
429,DB00433,D300125
430,DB00433,D181500
431,DB00433,D312910
432,DB00983,D223350
433,DB00983,D236000
434,DB00983,D246470
435,DB00983,D601626
436,DB00983,D109543
437,DB00983,D247640
438,DB00983,D276300
439,DB00983,D267730
440,DB00848,D236000
441,DB00848,D155601
442,DB00848,D155600
443,DB00848,D276300
444,DB00848,D256700
445,DB00848,D268220
446,DB01403,D131200
447,DB01403,D600351
448,DB01403,D215140
449,DB01403,D601608
450,DB01217,D125310
451,DB01217,D601042
452,DB01217,D217150
453,DB01217,D238800
454,DB01217,D145600
455,DB01217,D154276
456,DB01217,D540000
457,DB01217,D126200
458,DB01217,D607225
459,DB01217,D601367
460,DB01248,D223350
461,DB01248,D247640
462,DB01248,D276300
463,DB00692,D223350
464,DB00692,D148000
465,DB00692,D601626
466,DB00692,D247640
467,DB00692,D276300
468,DB01261,D247200
469,DB01261,D601004
470,DB01188,D608622
471,DB01188,D147530
472,DB01188,D161900
473,DB01148,D143465
474,DB01148,D147530
475,DB00035,D125700
476,DB00035,D304900
477,DB00035,D600631
478,DB00035,D600808
479,DB00035,D134430
480,DB00304,D131200
481,DB00304,D184700
482,DB00304,D192000
483,DB01259,D233810
484,DB00545,D233810
485,DB01233,D208550
486,DB01233,D125600
487,DB01233,D223350
488,DB01233,D600351
489,DB01233,D133600
490,DB01233,D233810
491,DB01233,D215140
492,DB01233,D145590
493,DB01233,D153880
494,DB01233,D276300
495,DB01233,D254400
496,DB01233,D166760
497,DB01233,D181000
498,DB01233,D601608
499,DB01233,D152700
500,DB01233,D188030
501,DB00379,D208750
502,DB00379,D212130
503,DB00379,D212112
504,DB00379,D212350
505,DB00379,D225740
506,DB00379,D305300
507,DB00379,D226000
508,DB01551,D143465
509,DB01551,D136200
510,DB00508,D145590
511,DB00508,D608088
512,DB00822,D601042
513,DB00822,D217200
514,DB00822,D156000
515,DB00524,D147530
516,DB00585,D106400
517,DB00585,D208230
518,DB00585,D308205
519,DB00585,D147530
520,DB00585,D150600
521,DB00585,D165720
522,DB00585,D140600
523,DB00585,D607850
524,DB00585,D607459
525,DB00800,D600351
526,DB00800,D304790
527,DB00936,D601665
528,DB00936,D264120
529,DB00255,D276300
530,DB00860,D208230
531,DB00860,D147530
532,DB00860,D165720
533,DB00860,D140600
534,DB00860,D607850
535,DB00860,D607459
536,DB00388,D608583
537,DB00388,D607554
538,DB01427,D608088
539,DB00318,D145590
540,DB00318,D157300
541,DB00318,D300125
542,DB01069,D146255
543,DB01069,D241519
544,DB00342,D608583
545,DB00342,D607554
546,DB00342,D608622
547,DB00342,D179600
548,DB00342,D161900
549,DB00915,D231090
550,DB01073,D145590
551,DB01073,D147540
552,DB01073,D158280
553,DB01073,D608088
554,DB01229,D145590
555,DB01229,D156000
556,DB00448,D137750
557,DB00448,D601682
558,DB00448,D137760
559,DB00448,D161900
560,DB00969,D601367
561,DB00280,D115000
562,DB00820,D103780
563,DB00313,D157300
564,DB00313,D300125
565,DB01244,D114480
566,DB01244,D137215
567,DB01244,D155601
568,DB01244,D155600
569,DB01244,D276300
570,DB01244,D176807
571,DB00204,D608583
572,DB00204,D607554
573,DB00204,D115000
574,DB00755,D145590
575,DB00839,D605055
576,DB00839,D104300
577,DB00839,D125320
578,DB00987,D146255
579,DB00987,D310468
580,DB00987,D166300
581,DB00987,D161900
582,DB00868,D137750
583,DB00868,D601682
584,DB00868,D137760
585,DB00868,D161900
586,DB00588,D200170
587,DB00588,D608622
588,DB00588,D147530
589,DB00588,D600082
590,DB00588,D179600
591,DB00588,D161900
592,DB01137,D603165
593,DB01137,D147530
594,DB00996,D109800
595,DB00996,D114480
596,DB00996,D137215
597,DB00996,D236000
598,DB00996,D601626
599,DB00996,D211980
600,DB00996,D247640
601,DB00996,D276300
602,DB00996,D254500
603,DB00996,D256700
604,DB00996,D259500
605,DB00996,D268220
606,DB00996,D188470
607,DB00996,D194070
608,DB00364,D145590
609,DB00364,D147540
610,DB01394,D184700
611,DB01394,D604416
612,DB00475,D147530
613,DB00475,D165199
614,DB00650,D208550
615,DB00650,D600807
616,DB00650,D210050
617,DB00216,D157300
618,DB00216,D607498
619,DB00216,D607508
620,DB00216,D607516
621,DB00216,D607501
622,DB00216,D300125
623,DB00583,D608622
624,DB00583,D146255
625,DB01225,D115000
626,DB01224,D231200
627,DB01224,D155100
628,DB01224,D273800
629,DB01224,D188050
630,DB00492,D168100
631,DB00492,D168600
632,DB01359,D208550
633,DB01359,D600807
634,DB00661,D208550
635,DB00661,D600807
636,DB00661,D137750
637,DB00661,D601682
638,DB00661,D137760
639,DB00661,D147540
640,DB00444,D114480
641,DB00444,D276300
642,DB01238,D178600
643,DB01238,D161900
644,DB01238,D188030
645,DB00871,D608622
646,DB00871,D161900
647,DB00153,D146255
648,DB00153,D241519
649,DB00153,D259660
650,DB00153,D277440
651,DB00695,D157300
652,DB00695,D300125
653,DB00527,D144700
654,DB00199,D604416
655,DB01174,D164230
656,DB00187,D608622
657,DB00187,D161900
658,DB00734,D109350
659,DB00734,D600263
660,DB00734,D190310
661,DB00776,D102500
662,DB00776,D114480
663,DB00776,D215470
664,DB00776,D311360
665,DB00776,D176807
666,DB01195,D176807
667,DB01195,D601518
668,DB00654,D215470
669,DB00654,D311360
670,DB00901,D203700
671,DB00901,D208300
672,DB00901,D210050
673,DB00901,D600351
674,DB00901,D215140
675,DB00901,D608622
676,DB00901,D256370
677,DB00901,D161900
678,DB00889,D147530
679,DB00975,D102500
680,DB00975,D215470
681,DB00975,D131200
682,DB00975,D184700
683,DB00975,D311360
684,DB00975,D604416
685,DB00975,D192000
686,DB00591,D217200
687,DB00750,D217200
688,DB00750,D239350
689,DB00747,D208230
690,DB00747,D147530
691,DB00747,D165720
692,DB00747,D140600
693,DB00747,D607850
694,DB00747,D607459
695,DB00771,D236000
696,DB00771,D276300
697,DB00771,D182280
698,DB00771,D273300
699,DB01579,D605839
700,DB01579,D144700
701,DB00989,D114480
702,DB00925,D109350
703,DB00925,D600263
704,DB00925,D304790
705,DB00925,D190310
706,DB00947,D102100
707,DB01020,D608622
708,DB01020,D179600
709,DB01020,D161900
710,DB01035,D144010
711,DB01035,D144650
712,DB00795,D608622
713,DB00795,D161900
714,DB00572,D208230
715,DB00572,D147530
716,DB00572,D165720
717,DB00572,D140600
718,DB00572,D607850
719,DB00572,D607459
720,DB00810,D147530
721,DB01214,D200170
722,DB01214,D109200
723,DB01214,D104130
724,DB01214,D147530
725,DB01214,D600082
726,DB01143,D231200
727,DB01143,D155100
728,DB01143,D273800
729,DB01194,D607554
730,DB01098,D114580
731,DB01098,D212050
732,DB01072,D223350
733,DB01072,D236000
734,DB01072,D109543
735,DB01072,D151400
736,DB01072,D247640
737,DB01072,D276300
738,DB01072,D267730
739,DB00686,D157700
740,DB00686,D252320
741,DB00180,D208550
742,DB00180,D600807
743,DB00590,D603165
744,DB00323,D278200
745,DB00542,D106400
746,DB00542,D114480
747,DB00542,D114500
748,DB00542,D137215
749,DB00542,D276300
750,DB00471,D607499
751,DB00471,D131300
752,DB00471,D252320
753,DB00471,D164230
754,DB00471,D167870
755,DB00471,D181500
756,DB01182,D114480
757,DB01182,D215470
758,DB01182,D241100
759,DB00622,D181500
760,DB00844,D233810
761,DB00710,D103100
762,DB00710,D208230
763,DB00710,D153880
764,DB00710,D165720
765,DB00710,D140600
766,DB00710,D607850
767,DB00710,D607459
768,DB00497,D176807
769,DB00586,D208550
770,DB00586,D600807
771,DB01088,D144010
772,DB00176,D164230
773,DB00176,D167870
774,DB00564,D188050
775,DB00982,D208550
776,DB00982,D600807
777,DB00982,D210050
778,DB00491,D608622
779,DB00491,D146255
780,DB00491,D161900
781,DB01296,D217200
782,DB01296,D239350
783,DB00997,D157300
784,DB00945,D114480
785,DB01623,D206200
786,DB00694,D203700
787,DB00694,D208300
788,DB00694,D210050
789,DB00694,D600351
790,DB00694,D215140
791,DB00694,D143880
792,DB00694,D608622
793,DB00694,D146255
794,DB00694,D256370
795,DB00694,D166300
796,DB00694,D161900
797,DB00995,D208700
798,DB00995,D600131
799,DB00995,D607681
800,DB00995,D607628
801,DB00995,D604827
802,DB00995,D607682
803,DB00995,D607631
804,DB00995,D608105
805,DB00995,D300491
806,DB00995,D144110
807,DB00995,D147530
808,DB00995,D157300
809,DB00995,D165199
810,DB00995,D102300
811,DB00995,D267740
812,DB00995,D190300
813,DB00672,D605055
814,DB00672,D104300
815,DB00672,D125320
816,DB00440,D114480
817,DB00440,D605839
818,DB00440,D144700
819,DB01240,D144010
820,DB01240,D144650
821,DB01240,D260480
822,DB04861,D126200
823,DB01014,D125853
824,DB01014,D125850
825,DB01014,D125851
826,DB01014,D600496
827,DB01118,D125853
828,DB00222,D125853
829,DB00222,D125850
830,DB00222,D125851
831,DB00222,D600496
832,DB01064,D125853
833,DB01064,D125850
834,DB01064,D125851
835,DB01064,D600496
836,DB01294,D208230
837,DB01294,D165720
838,DB01294,D140600
839,DB01294,D607850
840,DB01294,D607459
841,DB00642,D146110
842,DB00014,D114480
843,DB00014,D131200
844,DB00014,D176807
845,DB00014,D601518
846,DB00887,D145590
847,DB00226,D608622
848,DB00226,D161900
849,DB01169,D608622
850,DB01169,D161900
851,DB01017,D143465
852,DB01017,D608622
853,DB01017,D161900
854,DB00535,D113610
855,DB00535,D218200
856,DB00535,D312910
857,DB00594,D233810
858,DB00501,D127750
859,DB00501,D137580
860,DB00501,D181500
861,DB00501,D182830
862,DB01105,D125310
863,DB01105,D540000
864,DB01105,D601367
865,DB01268,D608622
866,DB01268,D145500
867,DB01268,D161900
868,DB00998,D102500
869,DB00998,D208300
870,DB00998,D125700
871,DB00998,D600351
872,DB00998,D215140
873,DB00998,D608622
874,DB00998,D161900
875,DB00953,D147530
876,DB00953,D608088
877,DB00736,D125600
878,DB00736,D233810
879,DB00736,D166760
880,DB00325,D147530
881,DB00325,D608088
882,DB01003,D605839
883,DB01003,D155601
884,DB01003,D155600
885,DB01003,D276300
886,DB01003,D263300
887,DB01003,D144700
888,DB01003,D187950
889,DB00555,D145590
890,DB00555,D147530
891,DB00422,D200170
892,DB00422,D226150
893,DB00422,D144110
894,DB00422,D260570
895,DB00422,D190310
896,DB00707,D102500
897,DB00707,D166710
898,DB01045,D208230
899,DB01045,D145590
900,DB01045,D147530
901,DB01045,D150600
902,DB01045,D252320
903,DB01045,D165720
904,DB01045,D140600
905,DB01045,D607850
906,DB01045,D607459
907,DB00308,D608583
908,DB00308,D607554
909,DB01176,D223350
910,DB01176,D601626
911,DB01176,D247640
912,DB01177,D236000
913,DB01177,D109543
914,DB01177,D151400
915,DB01177,D247640
916,DB01177,D276300
917,DB01177,D273300
918,DB01086,D608622
919,DB01086,D145500
920,DB01086,D178600
921,DB01086,D161900
922,DB00612,D607685
923,DB00612,D247640
924,DB00612,D276300
925,DB00612,D131440
926,DB00457,D143465
927,DB00457,D600631
928,DB00457,D600808
929,DB00457,D147530
930,DB00457,D167870
931,DB00722,D106400
932,DB00806,D600351
933,DB00806,D215140
934,DB00806,D608622
935,DB00806,D256370
936,DB00806,D161900
937,DB00327,D208230
938,DB00327,D602522
939,DB00327,D133600
940,DB00327,D133690
941,DB00327,D263800
942,DB00327,D147530
943,DB00327,D246400
944,DB00327,D157300
945,DB00327,D165720
946,DB00327,D140600
947,DB00327,D607850
948,DB00327,D607459
949,DB00331,D208550
950,DB00331,D600807
951,DB00331,D210050
952,DB01023,D125853
953,DB01023,D608622
954,DB01023,D146255
955,DB01023,D125850
956,DB01023,D125851
957,DB01023,D600496
958,DB01023,D161900
959,DB00759,D114500
960,DB00759,D223350
961,DB00759,D246470
962,DB00759,D276300
963,DB00221,D208550
964,DB00221,D600807
965,DB00221,D210050
966,DB01063,D208550
967,DB01063,D600807
968,DB01063,D115000
969,DB00882,D608320
970,DB00882,D109350
971,DB00882,D178600
972,DB00882,D161900
973,DB01019,D608320
974,DB01019,D109350
975,DB00977,D601626
976,DB00977,D604416
977,DB00270,D608622
978,DB00270,D179600
979,DB00270,D161900
980,DB01165,D114580
981,DB01165,D212050
982,DB01165,D602068
983,DB01165,D258360
984,DB01219,D147530
985,DB01008,D208230
986,DB01008,D145590
987,DB01008,D165720
988,DB01008,D140600
989,DB01008,D607850
990,DB01008,D607459
991,DB00464,D308205
